id_unique;stocking_bs_jp;id_fire;time_since_fire;latitude;longitude;seasonality_real_date;seasonality_adjusted;CBI;sphagnum_cover;ericaceous_cover;rom_med;age;basal_area_prefire_bs;prefire_bs_proportion;seedlings_ha_bs;seedlings_ha_jp;seedlings_ha_bl
20172010184;9;2010_1;7;50.726777;-71.808263;2010-06-23;89;2.19650866;16.48351648;39.8148148;279;127;0.826937132;68.5512991;23750;3250;0
20182010D007;9;2010_1;8;50.72972;-71.74195;2010-06-22;88;2.310423264;5.494505495;39.8148148;220;307;10.55378035;99.99758889;19250;0;0
20182010F022;9;2010_1;8;50.831768;-71.647699;2010-06-23;89;1.621853661;0;20.3703704;203.5;243;18.57947918;73.55576143;10750;0;5750
20182010F031;9;2010_1;8;50.73207;-71.67171;2010-06-24;90;2.0674153;1.098901099;38.8888889;180;151;21.92814243;96.76818686;17500;0;500
20182010D027;9;2010_1;8;50.73126;-71.67249;2010-06-24;90;2.017925867;19.78021978;49.0740741;290;155;24.42766528;100;15000;0;0
20182010D012;9;2010_1;8;50.72992;-71.6886;2010-06-24;90;1.733565125;19.78021978;54.6296296;281;153;25.79813261;98.9976992;27500;0;0
20182010F025;9;2010_1;8;50.82991;-71.65072;2010-06-23;89;2.527301167;0;9.2592593;120;157;26.47460555;97.6022546;8000;0;0
20182010D041;9;2010_1;8;50.73056;-71.67342;2010-06-24;90;2.351783698;0;28.7037037;270;149;28.12882705;93.33630097;3750;250;750
20182010D042;9;2010_1;8;50.72981;-71.67416;2010-06-24;90;2.28916083;4.395604396;51.8518519;260;140;28.53781848;100;16000;250;0
20182010F042;9;2010_1;8;50.72627;-71.66961;2010-06-24;90;1.874741034;38.46153846;32.4074074;320;146;3.965861394;95.1013176;36250;28750;0
20182010F008;9;2010_1;8;50.72723;-71.7433;2010-06-22;88;1.132723361;8.791208791;34.2592593;230;315;7.644870216;99.99667149;24750;0;0
20182010D020;9;2010_1;8;50.69855;-71.70848;2010-06-22;88;1.887446186;14.28571429;30.5555556;920;280;8.872234837;100;25000;4500;0
2017201010;9;2010_2;7;49.70448565;-71.34112556;2010-05-19;57;2.612725413;2.197802198;25.9259259;156;96;32.07283711;97.50438403;16500;3750;3250
20202011MG040;9;2011_1;9;50.634;-67.68584;2011-06-15;49;1.8538174;16.48351648;62.037037;410;198;18.23357329;80.4437547;13250;0;0
20192005P033;10;2005_2;14;50.41946;-72.49591;2005-06-05;37;2.033920468;29.67032967;51.8518519;440;151;21.43358971;93.06551992;33500;250;1000
20192005R029;10;2005_3;14;50.24712;-72.3557;2005-06-03;34;2.375535048;34.06593407;64.8148148;246;79.5;4.470275567;62.6817079;19750;31500;0
20172005180;10;2005_5;12;51.129897;-71.030895;2005-06-04;58;1.704866798;41.75824176;35.1851852;700;280;5.394258337;100;151000;0;0
